Source,Target,Operator,ServiceNo,StopSequence
66009,66361,SBST,109A,1
66361,66041,SBST,109A,2
66041,66051,SBST,109A,3
66051,63361,SBST,109A,4
63361,63181,SBST,109A,5
63181,63191,SBST,109A,6
63191,63201,SBST,109A,7
63201,63211,SBST,109A,8
63211,64101,SBST,109A,9
64101,64491,SBST,109A,10
64491,64481,SBST,109A,11
64481,64471,SBST,109A,12
64471,64601,SBST,109A,13
64601,64611,SBST,109A,14
85049,85039,SBST,10e,1
85039,85029,SBST,10e,2
85029,85019,SBST,10e,3
85019,94079,SBST,10e,4
94079,94069,SBST,10e,5
94069,94059,SBST,10e,6
94059,94049,SBST,10e,7
94049,94089,SBST,10e,8
94089,94039,SBST,10e,9
94039,94029,SBST,10e,10
94029,94019,SBST,10e,11
94019,93099,SBST,10e,12
93099,93089,SBST,10e,13
93089,93079,SBST,10e,14
93079,93069,SBST,10e,15
93069,93059,SBST,10e,16
93059,92159,SBST,10e,17
92159,92149,SBST,10e,18
92149,92139,SBST,10e,19
92139,92129,SBST,10e,20
92129,92119,SBST,10e,21
92119,92109,SBST,10e,22
92109,92099,SBST,10e,23
92099,80159,SBST,10e,24
80159,2119,SBST,10e,25
2119,3019,SBST,10e,26
3019,3059,SBST,10e,27
3059,3129,SBST,10e,28
3129,3217,SBST,10e,29
3217,3222,SBST,10e,30
3222,3111,SBST,10e,1
3111,3071,SBST,10e,2
3071,3031,SBST,10e,3
3031,3011,SBST,10e,4
3011,80151,SBST,10e,5
80151,92091,SBST,10e,7
92091,92101,SBST,10e,8
92101,92111,SBST,10e,9
92111,92121,SBST,10e,10
92121,92131,SBST,10e,11
92131,92141,SBST,10e,12
92141,92151,SBST,10e,13
92151,93051,SBST,10e,14
93051,93061,SBST,10e,15
93061,93071,SBST,10e,16
93071,93081,SBST,10e,17
93081,93091,SBST,10e,18
93091,94011,SBST,10e,19
94011,94021,SBST,10e,20
94021,94031,SBST,10e,21
94031,94041,SBST,10e,22
94041,94051,SBST,10e,23
94051,94061,SBST,10e,24
94061,94071,SBST,10e,25
